player_name,team,position,appearances,starts,substitute_appearances,goals,assists,minutes_played,passes,pass_accuracy,key_passes,shots,shots_on_target,tackles,interceptions,dribbles,duels_won,fouls_won,yellow_cards,red_cards
Matias Fernandez Pardo,Belgium,Forward,2,0,3,0,0,,,,,,,,,,,,0,0
Maxim de Cuyper,Belgium,Defender,3,2,1,0,0,,,,,,,,,,,,1,0
Mike Penders,Belgium,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Nathan Ngoy,Belgium,Defender,2,2,0,0,0,,,,,,,,,,,,0,1
Nicolas Raskin,Belgium,Midfielder,3,1,2,0,1,,,,,,,,,,,,0,0
Romelu Lukaku,Belgium,Forward,3,1,2,1,1,,,,,,,,,,,,1,0
Senne Lammens,Belgium,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Thibaut Courtois,Belgium,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Thomas Meunier,Belgium,Defender,2,2,1,0,0,,,,,,,,,,,,0,0
Timothy Castagne,Belgium,Defender,3,2,1,0,0,,,,,,,,,,,,1,0
Youri Tielemans,Belgium,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Amar Dedic,Bosnia and Herzegovina,Defender,2,2,1,0,0,,,,,,,,,,,,1,0
Amar Memic,Bosnia and Herzegovina,Midfielder,3,2,1,0,0,,,,,,,,,,,,0,0
Amir Hadziahmetovic,Bosnia and Herzegovina,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Arjan Malic,Bosnia and Herzegovina,Defender,1,1,1,0,0,,,,,,,,,,,,0,0
Armin Gigovic,Bosnia and Herzegovina,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Benjamin Tahirovic,Bosnia and Herzegovina,Midfielder,3,2,1,0,0,,,,,,,,,,,,0,0
Dennis Hadzikadunic,Bosnia and Herzegovina,Defender,1,0,3,0,1,,,,,,,,,,,,0,0
Dzenis Burnic,Bosnia and Herzegovina,Midfielder,2,0,3,0,0,,,,,,,,,,,,0,0
Edin Dzeko,Bosnia and Herzegovina,Forward,2,2,1,0,0,,,,,,,,,,,,1,0
Ermedin Demirovic,Bosnia and Herzegovina,Forward,3,3,0,0,0,,,,,,,,,,,,1,0
Ermin Mahmic,Bosnia and Herzegovina,Midfielder,2,0,3,2,0,,,,,,,,,,,,1,0
Esmir Bajraktarevic,Bosnia and Herzegovina,Forward,3,2,1,0,0,,,,,,,,,,,,0,0
Haris Tabakovic,Bosnia and Herzegovina,Forward,0,0,3,0,0,,,,,,,,,,,,0,0
Ivan Basic,Bosnia and Herzegovina,Midfielder,3,2,1,0,1,,,,,,,,,,,,0,0
Ivan Sunjic,Bosnia and Herzegovina,Midfielder,2,2,0,0,0,,,,,,,,,,,,0,0
Jovo Lukic,Bosnia and Herzegovina,Forward,2,1,2,1,0,,,,,,,,,,,,1,0
Kerim-Sam Alajbegovic,Bosnia and Herzegovina,Midfielder,3,2,1,1,0,,,,,,,,,,,,0,0
Martin Zlomislic,Bosnia and Herzegovina,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Mladen Jurkas,Bosnia and Herzegovina,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Nihad Mujakic,Bosnia and Herzegovina,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Nikola Katic,Bosnia and Herzegovina,Defender,3,3,0,0,0,,,,,,,,,,,,1,0
Nikola Vasilj,Bosnia and Herzegovina,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Samed Bazdar,Bosnia and Herzegovina,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Sead Kolasinac,Bosnia and Herzegovina,Midfielder,3,3,0,0,1,,,,,,,,,,,,0,0
Stjepan Radeljic,Bosnia and Herzegovina,Defender,1,1,2,0,0,,,,,,,,,,,,0,0
Tarik Muharemovic,Bosnia and Herzegovina,Defender,2,2,0,0,0,,,,,,,,,,,,0,1
Alex Sandro,Brazil,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Alisson,Brazil,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Bremer,Brazil,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Bruno Guimaraes,Brazil,Midfielder,3,3,0,0,3,,,,,,,,,,,,0,0
Casemiro,Brazil,Midfielder,3,3,0,0,0,,,,,,,,,,,,1,0
Danilo,Brazil,Defender,3,2,1,0,0,,,,,,,,,,,,2,0
Danilo Santos,Brazil,Midfielder,2,0,3,0,0,,,,,,,,,,,,0,0
Douglas Santos,Brazil,Defender,3,3,0,0,0,,,,,,,,,,,,1,0
Ederson,Brazil,Goalkeeper,1,0,3,0,0,,,,,,,,,,,,0,0
Ederson Silva,Brazil,Midfielder,0,0,3,0,0,,,,,,,,,,,,0,0
Endrick,Brazil,Forward,1,0,3,0,0,,,,,,,,,,,,0,0
Fabinho,Brazil,Defender,2,0,3,0,0,,,,,,,,,,,,0,0
Gabriel Magalhaes,Brazil,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Gabriel Martinelli,Brazil,Forward,2,0,3,0,0,,,,,,,,,,,,0,0
Igor Thiago,Brazil,Forward,1,1,2,0,0,,,,,,,,,,,,0,0
Leo Pereira,Brazil,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
Lucas Paqueta,Brazil,Midfielder,3,3,0,0,1,,,,,,,,,,,,0,0
Luiz Henrique,Brazil,Midfielder,1,0,3,0,0,,,,,,,,,,,,0,0
Marquinhos,Brazil,Defender,3,3,0,0,0,,,,,,,,,,,,0,0
Matheus Cunha,Brazil,Forward,3,2,1,3,0,,,,,,,,,,,,0,0
Neymar,Brazil,Forward,0,0,1,0,0,,,,,,,,,,,,0,0
Raphinha,Brazil,Midfielder,2,2,0,0,0,,,,,,,,,,,,0,0
Rayan Rocha,Brazil,Forward,2,1,2,0,1,,,,,,,,,,,,0,0
Roger Ibanez,Brazil,Defender,1,1,2,0,0,,,,,,,,,,,,1,0
Vinicius Junior,Brazil,Forward,3,3,0,4,1,,,,,,,,,,,,0,0
Weverton,Brazil,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Alfie Jones,Canada,Defender,0,0,2,0,0,,,,,,,,,,,,0,0
Ali Ahmed,Canada,Defender,3,2,2,0,0,,,,,,,,,,,,0,0
Alistair Johnston,Canada,Defender,4,4,0,0,0,,,,,,,,,,,,1,0
Alphonso Davies,Canada,Midfielder,1,0,4,0,0,,,,,,,,,,,,0,0
Cyle Larin,Canada,Forward,3,2,2,2,0,,,,,,,,,,,,1,0
Dayne St Clair,Canada,Goalkeeper,0,0,4,0,0,,,,,,,,,,,,0,0
Derek Cornelius,Canada,Defender,4,4,0,0,0,,,,,,,,,,,,1,0
Ismael Kone,Canada,Midfielder,2,2,0,0,0,,,,,,,,,,,,0,0
Jacob Shaffelburg,Canada,Forward,3,0,4,0,0,,,,,,,,,,,,0,0
Jayden Nelson,Canada,Forward,0,0,4,0,0,,,,,,,,,,,,0,0
Joel Waterman,Canada,Midfielder,0,0,4,0,0,,,,,,,,,,,,0,0
Jonathan David,Canada,Forward,4,4,0,3,0,,,,,,,,,,,,0,0
Jonathan Osorio,Canada,Midfielder,1,0,4,0,0,,,,,,,,,,,,0,0
Liam Millar,Canada,Forward,3,2,2,0,0,,,,,,,,,,,,0,0
Luc de Fourgerolles,Canada,Defender,4,3,1,0,0,,,,,,,,,,,,1,0
Mathieu Choinere,Canada,Midfielder,1,1,3,0,0,,,,,,,,,,,,0,0
Maxime Crepeau,Canada,Goalkeeper,4,4,0,0,0,,,,,,,,,,,,0,0
Moise Bombito,Canada,Defender,2,1,3,0,0,,,,,,,,,,,,0,0
Nathan Saliba,Canada,Midfielder,3,2,2,1,2,,,,,,,,,,,,1,0
Niko Sigur,Canada,Defender,2,0,4,0,0,,,,,,,,,,,,1,0
Owen Goodman,Canada,Goalkeeper,0,0,4,0,0,,,,,,,,,,,,0,0
Promise David Akinpelu,Canada,Forward,3,0,4,1,1,,,,,,,,,,,,0,0
Richie Laryea,Canada,Midfielder,4,4,0,0,0,,,,,,,,,,,,0,0
Stephen Eustaquio,Canada,Midfielder,4,3,1,1,0,,,,,,,,,,,,0,0
Tajon Buchanan,Canada,Forward,4,4,0,0,0,,,,,,,,,,,,0,0
Tani Oluwaseyi,Canada,Midfielder,4,2,2,0,0,,,,,,,,,,,,0,0
Benchimol,Cape Verde,Forward,1,1,2,0,0,,,,,,,,,,,,0,0
CJ dos Santos,Cape Verde,Goalkeeper,0,0,3,0,0,,,,,,,,,,,,0,0
Dailon Livramento,Cape Verde,Forward,2,2,1,0,0,,,,,,,,,,,,0,0
Deroy Duarte,Cape Verde,Midfielder,3,1,2,0,0,,,,,,,,,,,,0,0
Diney,Cape Verde,Defender,3,3,0,0,0,,,,,,,,,,,,1,0
Garry Rodrigues,Cape Verde,Midfielder,2,1,2,0,0,,,,,,,,,,,,0,0
Helio Varela,Cape Verde,Midfielder,2,0,3,1,0,,,,,,,,,,,,0,0
Jamiro Monteiro,Cape Verde,Midfielder,3,3,0,0,0,,,,,,,,,,,,0,0
Joao Paulo,Cape Verde,Midfielder,2,1,2,0,0,,,,,,,,,,,,0,0
Josimar Vozinha,Cape Verde,Goalkeeper,3,3,0,0,0,,,,,,,,,,,,0,0
Jovane Cabral,Cape Verde,Midfielder,1,1,2,0,0,,,,,,,,,,,,0,0
Kelvin Pires,Cape Verde,Defender,0,0,3,0,0,,,,,,,,,,,,0,0
