date,home_team,away_team,neutral,tournament,home_win_rate,home_draw_rate,home_avg_goals_scored,home_avg_goals_conceded,away_win_rate,away_draw_rate,away_avg_goals_scored,away_avg_goals_conceded,elo_diff,home_elo,away_elo,result,h2h_home_win_rate,h2h_avg_goal_diff
1930-07-14,Brazil,Yugoslavia,True,FIFA World Cup,0.4,0.2,1.8,1.4,0.5,0.22,1.5,1.5,423,1923,1500,away_win,0.5,0.0
1930-07-14,Peru,Romania,True,FIFA World Cup,0.1666666666666666,0.0,0.8333333333333334,3.8333333333333335,0.5,0.22,1.5,1.5,0,1500,1500,away_win,0.5,0.0
1930-07-15,Argentina,France,True,FIFA World Cup,0.8,0.1,3.8,0.8,1.0,0.0,4.0,1.0,534,2081,1547,home_win,0.5,0.0
1930-07-16,Chile,Mexico,True,FIFA World Cup,0.2,0.1,1.5,2.5,0.0,0.0,1.0,4.0,-113,1500,1613,home_win,0.5,0.0
1930-07-17,Bolivia,Yugoslavia,True,FIFA World Cup,0.0,0.0,0.7142857142857143,6.142857142857143,1.0,0.0,2.0,1.0,0,1500,1500,away_win,0.5,0.0
1930-07-17,Paraguay,USA,True,FIFA World Cup,0.3,0.0,2.1,3.5,1.0,0.0,3.0,0.0,105,1777,1672,away_win,0.5,0.0
1930-07-18,Uruguay,Peru,False,FIFA World Cup,0.7,0.0,3.6,1.1,0.1428571428571428,0.0,0.8571428571428571,3.7142857142857135,460,1960,1500,home_win,0.5,0.0
1930-07-19,Argentina,Mexico,True,FIFA World Cup,0.8,0.1,3.4,0.8,0.0,0.0,0.5,3.5,468,2081,1613,home_win,0.5,0.0
1930-07-19,Chile,France,True,FIFA World Cup,0.3,0.1,1.8,2.3,0.5,0.0,2.0,1.0,-47,1500,1547,home_win,0.5,0.0
1930-07-20,Belgium,Paraguay,True,FIFA World Cup,0.0,0.0,0.0,3.0,0.3,0.0,1.9,3.3,-129,1648,1777,away_win,0.5,0.0
1930-07-20,Bolivia,Brazil,True,FIFA World Cup,0.0,0.0,0.625,5.875,0.4,0.1,1.9,1.6,-423,1500,1923,away_win,0.5,0.0
1930-07-21,Uruguay,Romania,False,FIFA World Cup,0.7,0.0,3.4,1.0,1.0,0.0,3.0,1.0,460,1960,1500,home_win,0.5,0.0
1930-07-22,Argentina,Chile,True,FIFA World Cup,0.8,0.1,3.2,1.1,0.4,0.1,1.9,1.9,581,2081,1500,home_win,0.7142857142857143,2.142857142857143
1930-07-26,Argentina,USA,True,FIFA World Cup,0.9,0.1,3.5,1.0,1.0,0.0,3.0,0.0,409,2081,1672,home_win,0.5,0.0
1930-07-27,Uruguay,Yugoslavia,False,FIFA World Cup,0.7,0.0,3.6,1.0,1.0,0.0,3.0,0.5,460,1960,1500,home_win,0.5,0.0
1930-07-30,Uruguay,Argentina,False,FIFA World Cup,0.7,0.0,3.6,1.1,1.0,0.0,4.0,1.0,-121,1960,2081,home_win,0.5,0.3
1933-06-11,Sweden,Estonia,False,FIFA World Cup qualification,0.5,0.22,1.5,1.5,0.5,0.22,1.5,1.5,192,1692,1500,home_win,0.5,0.0
1933-06-29,Lithuania,Sweden,False,FIFA World Cup qualification,0.5,0.22,1.5,1.5,1.0,0.0,6.0,2.0,-192,1500,1692,away_win,0.5,0.0
1933-09-24,Yugoslavia,Switzerland,False,FIFA World Cup qualification,0.6666666666666666,0.0,2.333333333333333,2.333333333333333,0.5,0.22,1.5,1.5,-137,1500,1637,draw,0.5,0.0
1933-10-15,Poland,Czechoslovakia,False,FIFA World Cup qualification,0.5,0.22,1.5,1.5,0.5,0.22,1.5,1.5,0,1500,1500,away_win,0.5,0.0
1933-10-29,Switzerland,Romania,False,FIFA World Cup qualification,0.0,1.0,2.0,2.0,0.5,0.0,1.5,2.5,137,1637,1500,draw,0.5,0.0
1934-01-28,Haiti,Cuba,False,FIFA World Cup qualification,0.5,0.22,1.5,1.5,0.5,0.22,1.5,1.5,-210,1290,1500,away_win,0.5,0.0
1934-02-01,Haiti,Cuba,False,FIFA World Cup qualification,0.0,0.0,1.0,3.0,1.0,0.0,3.0,1.0,-210,1290,1500,draw,0.5,0.0
1934-02-04,Haiti,Cuba,False,FIFA World Cup qualification,0.0,0.5,1.0,2.0,0.5,0.5,2.0,1.0,-210,1290,1500,away_win,0.5,0.0
1934-02-25,Republic of Ireland,Belgium,True,FIFA World Cup qualification,0.5,0.22,1.5,1.5,0.0,0.0,0.0,2.0,-88,1500,1588,draw,0.5,0.0
1934-03-04,Mexico,Cuba,False,FIFA World Cup qualification,0.0,0.0,1.3333333333333333,4.333333333333333,0.6666666666666666,0.3333333333333333,3.333333333333333,0.6666666666666666,-2,1498,1500,home_win,0.5,0.0
1934-03-11,Luxembourg,Germany,False,FIFA World Cup qualification,0.5,0.22,1.5,1.5,0.5,0.22,1.5,1.5,-279,1500,1779,away_win,0.5,0.0
