player_name,team,position,age,nationality,club,photo_url
Matthieu Epolo,DR Congo,Goalkeeper,,,,
Meschak Elia,DR Congo,Forward,,,,
Nathanael Mbuku,DR Congo,Midfielder,,,,
Ngal'ayel Mukau,DR Congo,Midfielder,,,,
Noah Sadiki,DR Congo,Midfielder,,,,
Samuel Moutoussamy,DR Congo,Midfielder,,,,
Simon Banza,DR Congo,Forward,,,,
Steve Kapuadi,DR Congo,Defender,,,,
Theo Bongonda,DR Congo,Forward,,,,
Timothy Fayulu,DR Congo,Goalkeeper,,,,
Yoane Wissa,DR Congo,Forward,,,,
Alan Franco,Ecuador,Midfielder,,,,
Alan Minda,Ecuador,Forward,,,,
Angelo Preciado,Ecuador,Defender,,,,
Anthony Valencia,Ecuador,Forward,,,,
Denil Castillo,Ecuador,Midfielder,,,,
Enner Valencia,Ecuador,Midfielder,,,,
Felix Torres,Ecuador,Defender,,,,
Gonzalo Plata,Ecuador,Midfielder,,,,
Gonzalo Valle,Ecuador,Goalkeeper,,,,
Hernan Galindez,Ecuador,Goalkeeper,,,,
Jackson Porozo,Ecuador,Defender,,,,
Jeremy Arevalo,Ecuador,Forward,,,,
Joel Ordonez,Ecuador,Defender,,,,
John Yeboah Zamora,Ecuador,Midfielder,,,,
Jordy Alcivar,Ecuador,Midfielder,,,,
Jordy Caicedo,Ecuador,Forward,,,,
Kendry Paez,Ecuador,Midfielder,,,,
Kevin Rodriguez,Ecuador,Forward,,,,
Moises Caicedo,Ecuador,Midfielder,,,,
Moises Ramirez,Ecuador,Goalkeeper,,,,
Nilson Angulo,Ecuador,Forward,,,,
Pedro Vite,Ecuador,Midfielder,,,,
Pervis Estupinan,Ecuador,Defender,,,,
Piero Hincapie,Ecuador,Defender,,,,
William Pacho,Ecuador,Defender,,,,
Yaimar Medina,Ecuador,Defender,,,,
Ahmed Fatouh,Egypt,Defender,,,,
Ahmed Sayed Zizo,Egypt,Midfielder,,,,
El Mahdy Soliman,Egypt,Goalkeeper,,,,
Eman Ashour,Egypt,Midfielder,,,,
Haissem Hassan,Egypt,Forward,,,,
Hamdi Fathi,Egypt,Midfielder,,,,
Hamza Abdelkarim,Egypt,Forward,,,,
Hossam Abdelmaguid,Egypt,Defender,,,,
Ibrahim Adel,Egypt,Forward,,,,
Karim Hafez,Egypt,Defender,,,,
Mahmoud Alaa,Egypt,Defender,,,,
Mahmoud Saber,Egypt,Midfielder,,,,
Marwan Attia,Egypt,Midfielder,,,,
Mohamed Abdelmonem,Egypt,Defender,,,,
Mohamed Alaa,Egypt,Goalkeeper,,,,
Mohamed El-Shenawy,Egypt,Goalkeeper,,,,
Mohamed Hany,Egypt,Defender,,,,
Mohamed Salah,Egypt,Forward,,,,
Mohanad Lasheen,Egypt,Midfielder,,,,
Mostafa Shobeir,Egypt,Goalkeeper,,,,
Mostafa Ziko,Egypt,Midfielder,,,,
Nabil Emad,Egypt,Midfielder,,,,
Omar Marmoush,Egypt,Forward,,,,
Ramy Rabia,Egypt,Midfielder,,,,
Tarek Alaa,Egypt,Defender,,,,
Trezeguet,Egypt,Midfielder,,,,
Yasser Ibrahim,Egypt,Defender,,,,
Anthony Gordon,England,Midfielder,,,,
Bukayo Saka,England,Midfielder,,,,
Dan Burn,England,Defender,,,,
Dean Henderson,England,Goalkeeper,,,,
Declan Rice,England,Midfielder,,,,
Djed Spence,England,Defender,,,,
Eberechi Eze,England,Midfielder,,,,
Elliot Anderson,England,Midfielder,,,,
Ezri Konsa,England,Midfielder,,,,
Harry Kane,England,Forward,,,,
Ivan Toney,England,Forward,,,,
James Trafford,England,Goalkeeper,,,,
Jarell Quansah,England,Defender,,,,
John Stones,England,Defender,,,,
Jordan Henderson,England,Midfielder,,,,
Jordan Pickford,England,Goalkeeper,,,,
Jude Bellingham,England,Midfielder,,,,
Kobbie Mainoo,England,Midfielder,,,,
Marc Guehi,England,Defender,,,,
Marcus Rashford,England,Forward,,,,
Morgan Rogers,England,Midfielder,,,,
Nico O'Reilly,England,Defender,,,,
Noni Madueke,England,Midfielder,,,,
Ollie Watkins,England,Forward,,,,
Reece James,England,Defender,,,,
Trevoh Chalobah,England,Defender,,,,
Adrien Rabiot,France,Midfielder,,,,
Aurelien Tchouameni,France,Midfielder,,,,
Bradley Barcola,France,Forward,,,,
Brice Samba,France,Goalkeeper,,,,
Dayot Upamecano,France,Defender,,,,
Desire Doue,France,Forward,,,,
Ibrahima Konate,France,Defender,,,,
Jean Philippe Mateta,France,Forward,,,,
